CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Witold Lutosławski,1913,N,Polish,M,N,N,Overture for Strings,5,1949,N,N,Chamber orchestra
Bryce Dessner,1976,Y,American,M,N,N,Réponse Lutosławski,20,2014,N,N,Chamber orchestra
Sufjan Stevens,1975,Y,American,M,N,N,Suite from Run Rabbit Run,15,2012,N,N,Chamber orchestra
Krzysztof Penderecki,1933,Y,Polish,M,N,N,String Quartet No.1,8,1960,N,N,Chamber orchestra
Jonny Greenwood,1971,Y,American,M,N,N,Suite from There Will Be Blood,14,2007,N,N,Chamber orchestra
Karol Szymanowski,1882,N,Polish,M,N,N,"String Quartet No.2, Op.56",19,1927,N,N,Chamber orchestra
